,negative,positive
union,28,28
you,8787,8535
ll,786,679
understand,412,418
see,2786,2960
apparently,328,134
filmed,181,188
ready,89,88
release,175,232
guess,427,221
paramount,8,28
stalled,4,1
releasing,17,9
until,396,511
january,3,11
because,2560,2033
unbelievable,161,46
reported,13,10
they,6581,5083
deemed,8,19
unreleasable,1,0
garnered,6,10
over,1663,1547
an,5039,5682
embarrassing,100,18
revenue,2,2
released,188,277
briefly,35,34
places,90,116
like,5615,4551
texas,55,53
colorado,3,4
before,1065,1099
heading,21,15
straight,242,171
video,508,351
testament,14,28
overall,313,451
bad,3626,916
quality,360,306
based,304,383
novel,229,241
john,386,687
fante,3,0
could,2335,1607
someone,777,420
please,333,197
tell,479,366
absolutely,409,323
no,3994,2273
reason,711,421
fine,226,424
book,637,580
should,1514,1078
adapted,23,53
way,1949,2000
want,1073,740
romantic,148,273
melodramatic,30,29
hollywood,420,506
production,530,384
colin,14,16
farell,2,0
selma,7,4
hayek,6,0
then,2381,1694
how,2329,2080
possibly,214,142
connection,73,61
ask,205,136
dust,38,19
wanted,387,274
story,2644,3423
don,2668,1774
get,2584,2176
adaptation,86,136
poorly,312,38
made,2204,1938
read,580,462
liked,292,488
m,1505,1022
almost,754,801
sure,718,635
won,374,467
towne,5,4
beginning,312,342
maybe,718,476
find,937,1149
casting,144,153
odd,144,155
acting,2008,1294
cinematography,197,310
bit,657,896
overdone,35,16
hope,344,392
best,984,2152
hoped,39,25
lot,936,1116
during,498,574
gets,869,734
worse,620,116
simple,145,339
whether,207,226
fantes,1,0
or,5133,3924
another,1076,1043
combined,40,53
lack,357,190
structure,48,57
course,582,661
plenty,132,194
shots,273,204
farells,1,0
naked,148,58
butt,39,34
complain,28,42
more,3338,3782
time,3071,3345
ve,1468,1252
seen,1662,1776
alright,72,13
had,3024,2648
curious,70,60
disappointed,284,167
sweet,78,203
mustache,14,7
end,1462,1322
he,6787,8178
worn,22,21
whole,914,659
through,1308,1210
d,995,676
given,482,449
loosely,35,21
ideas,167,126
original,957,699
hit,217,315
set,538,651
modern,170,288
day,554,803
we,2721,2746
base,56,27
afghanistan,16,4
destroyed,54,35
uav,2,0
right,789,851
at,6165,5627
start,452,377
exactly,255,252
where,1604,1606
jumps,38,38
shark,61,11
aren,278,170
armed,21,22
tried,251,130
real,1092,1283
computer,153,81
has,3727,4601
masterminded,1,1
operation,24,12
called,417,322
r,112,129
p,97,81
l,79,105
e,155,218
y,23,21
are,7302,7550
introduced,73,74
hacker,4,2
farmer,23,21
chemistry,89,139
electronics,7,5
doesn,1247,1038
him,1946,2515
his,5999,8580
love,1095,2184
interest,269,220
annie,44,21
st,100,77
hacking,11,5
complete,329,188
failure,85,45
ip,2,0
address,19,19
also,1816,2798
logged,2,0
guessed,29,15
who,4967,5726
meet,142,204
wills,8,5
mom,111,97
works,219,433
chemical,16,5
company,112,131
taking,228,227
money,845,376
neighbours,6,9
bank,91,60
account,48,47
mr,293,430
massude,4,0
isn,965,648
hack,25,6
helped,65,97
up,3483,3200
nod,15,21
back,1199,1265
decide,144,117
against,310,427
playing,385,437
global,34,24
thermonuclear,2,1
war,384,634
play,493,651
dead,556,401
code,51,66
trace,20,14
ripley,25,1
office,126,162
running,304,205
pc,21,13
all,5953,6003
evidence,59,39
were,3041,2433
gathering,10,17
useless,51,7
shut,56,27
machine,78,80
down,1045,890
explained,110,49
online,24,26
game,265,373
felt,414,355
need,485,439
electricity,12,7
entire,409,301
block,35,32
lived,78,105
counter,19,32
terrorism,6,12
agency,21,18
viable,5,4
target,54,47
extremely,251,267
questionable,29,24
activating,1,1
mobile,16,23
phone,109,67
wasn,744,416
connected,35,41
message,207,212
wouldn,353,187
unless,279,77
answered,14,11
there,5319,4072
science,141,130
agents,37,15
arrive,31,40
home,414,512
take,867,864
away,726,664
envelope,9,4
turns,308,324
out,4504,4176
contain,43,37
searching,24,48
licence,4,1
plate,11,16
car,403,241
took,289,295
never,1610,1602
break,146,166
dmv,1,0
grab,25,31
dennis,36,60
airport,39,18
authority,24,33
arrest,13,12
detain,2,1
mother,337,433
hadn,84,71
stealing,35,37
chemicals,5,1
bio,13,6
either,617,340
she,3257,3895
patriot,5,8
know,1714,1423
worried,19,34
being,1657,1653
arrested,33,35
canada,36,34
its,1735,2317
totally,364,287
different,438,779
country,192,263
laws,20,32
us,777,1093
gone,188,181
rogue,9,10
action,759,898
taken,246,236
sanctioned,3,0
government,108,97
phreak,1,0
skill,40,53
seemed,447,256
easy,129,279
such,1282,1316
powerful,62,246
system,77,83
guy,960,523
ran,61,61
them,2093,1989
street,144,176
nothing,1517,632
laughable,187,23
notion,29,24
track,108,109
cellphone,4,1
whilst,66,59
underground,46,50
stupid,726,143
idea,651,372
reads,27,23
lips,29,27
reference,38,36
when,3362,3791
mention,258,173
stephen,76,69
falken,4,0
designer,23,19
replaced,46,42
joshua,11,3
project,164,99
discover,63,78
played,491,802
actor,596,616
sadly,186,100
faked,7,4
death,469,473
wopr,2,0
going,1154,896
help,465,505
beat,97,87
kept,199,159
same,1009,999
voice,256,335
used,485,527
quickly,163,163
after,1854,1967
hardly,196,119
explosion,32,23
kill,376,239
russian,95,92
unlikely,43,53
create,141,151
self,289,274
contained,29,28
ability,121,116
nuke,8,1
drop,64,40
weapons,41,30
operates,4,9
decontamination,2,1
those,1144,1266
kinds,43,62
orders,29,25
go,1387,1221
president,48,71
joint,9,16
chiefs,4,0
staff,35,21
yet,594,775
hacks,10,3
done,725,828
contacts,4,10
friends,375,493
suggests,38,47
implements,5,1
excessively,9,7
login,1,0
increasing,8,10
operating,11,5
temperature,5,2
having,654,647
backdoor,1,0
especially,492,764
blown,30,51
bits,86,63
incredible,65,221
cop,184,131
screams,43,20
desperate,78,77
writer,322,251
left,567,493
awful,792,92
countdown,4,0
saying,311,153
says,283,255
crap,432,73
can,3768,3555
keep,398,438
timer,8,9
attack,143,88
mission,59,73
philadelphia,6,9
halted,2,1
far,823,686
easily,190,223
decides,148,148
internal,23,9
circuits,1,0
reroutes,1,0
missile,19,8
aimed,37,27
philly,6,2
washington,53,106
stationed,3,2
nuclear,53,25
exchange,19,21
realise,25,46
doing,474,327
work,976,1193
surely,118,91
already,407,324
insider,2,3
learnt,10,4
lesson,60,73
repeat,32,34
exact,51,40
words,227,226
form,173,227
goes,604,577
many,1459,1912
unable,70,53
come,767,790
point,920,735
fingers,26,13
stolen,44,47
men,454,559
blame,111,32
randall,7,13
badat,1,0
rob,35,121
kerchner,1,0
avoided,36,23
sat,100,40
expecting,139,123
thought,868,842
provoking,21,57
fact,884,874
instead,766,367
some,4117,3752
least,1008,535
arguments,17,8
christian,117,70
faith,75,67
imaginable,22,12
instance,76,58
effort,270,121
prove,74,57
christianity,26,14
inherently,5,7
violent,121,133
narrator,25,40
constantly,96,115
quotes,23,25
bible,52,25
without,804,826
giving,234,218
context,82,57
thus,93,109
altering,5,9
meaning,125,134
text,33,42
jesus,103,45
quoted,7,5
commanding,10,19
execution,56,25
disobey,2,1
quote,33,42
parable,4,6
told,234,316
involving,128,113
king,220,266
makes,872,1200
appear,160,145
thing,1408,832
telling,159,158
characters,1768,1806
dishonesty,1,1
obvious,348,193
atheism,1,1
offer,112,75
world,705,1192
attempts,176,108
success,109,212
passion,56,99
christ,46,26
superstar,16,8
last,704,808
temptation,7,15
christians,35,14
bloodthirsty,10,2
most,1928,2429
historically,26,23
accurate,51,87
date,105,130
critics,82,131
bunch,287,113
edits,12,5
series,616,1104
images,79,150
hammer,36,40
ironically,24,34
chainsaw,29,13
massacre,44,34
came,373,473
months,60,81
later,436,636
plays,426,691
violence,289,269
entertainment,225,231
versus,18,37
dramatic,148,182
effect,144,172
bothered,57,27
mockery,13,4
people,2405,2246
knew,208,224
subject,155,203
matter,239,316
interviewed,13,12
schmoes,1,0
parking,19,10
billy,77,105
graham,28,17
york,152,245
crusade,8,6
atheists,3,2
notable,37,55
authors,13,8
scholars,6,4
asked,85,70
movement,43,56
started,269,208
said,608,474
holy,34,21
spirit,100,179
coming,253,297
disciples,2,1
pentecost,1,0
correct,64,56
acts,105,92
gives,281,504
commentary,63,95
funny,1178,1008
seem,542,541
origins,14,21
proceeds,30,14
explain,150,78
apostle,1,1
paul,163,273
stopped,67,47
road,97,100
damascus,1,1
chap,2,6
seems,1007,814
convinced,62,47
deception,6,13
simply,547,453
ignorance,18,9
throws,49,36
around,956,868
nonsense,101,47
person,436,356
kidding,46,14
corinthians,2,0
describes,15,33
resurrection,12,6
witnessed,18,30
whom,125,182
names,104,86
passage,11,18
question,183,174
doubt,199,178
examples,48,47
full,369,506
documentary,199,315
patience,20,16
skip,106,45
throughout,274,396
emotional,103,222
vendetta,2,4
upbringing,13,9
church,107,115
interview,41,46
childhood,59,137
principle,9,17
ditch,5,1
disprove,4,0
tries,399,243
fool,66,66
gave,306,303
detention,3,5
child,294,364
passes,24,27
intellectual,41,49
atheist,10,2
community,60,95
intelligent,97,158
filmmakers,168,100
load,37,18
off,1777,1232
facts,70,52
grandmother,29,29
sister,185,236
theaters,57,59
happily,37,42
bought,111,110
tickets,11,16
popcorn,32,27
soda,4,3
walked,74,27
theater,205,158
audience,597,531
applauded,5,7
strongly,38,64
remember,366,497
heard,290,277
seeing,489,583
eddie,60,98
murphy,36,64
hysterical,36,28
apart,145,169
rarely,64,91
laughed,116,94
parts,255,330
remembered,53,77
making,855,639
animals,85,121
talk,260,183
talking,277,207
exist,80,53
cartoons,57,60
live,303,467
movies,2080,1804
mutt,3,2
twist,177,139
brings,103,214
several,299,405
part,954,1038
great,1291,3222
adventures,38,66
pluto,5,5
nash,12,4
recommend,314,516
probably,705,686
give,855,801
rating,272,192
stars,397,454
possible,277,217
am,750,692
batman,115,65
tv,672,695
fan,412,525
loved,166,587
old,1076,1166
hopeing,1,0
opinon,2,1
big,832,895
problem,490,250
drama,280,437
mask,54,52
phantasm,23,4
beyond,247,194
return,132,181
joker,18,9
freeze,23,10
sub,97,70
zero,146,67
light,192,287
scene,1428,1261
dark,287,396
fight,265,301
bane,4,3
anyways,24,23
ok,336,169
rent,209,129
starts,338,267
beautiful,294,831
house,489,538
group,282,233
surprisingly,80,172
caretakers,2,0
always,592,1062
lock,19,20
gates,26,11
apparent,84,65
anywhoo,1,0
laugh,360,291
joke,251,67
etc,346,301
dr,167,187
tells,157,286
spooky,26,41
woman,700,698
kids,495,441
scared,73,89
feel,675,817
stuff,317,224
oh,529,194
girl,744,683
ghost,122,122
comes,605,609
finds,171,284
killed,356,231
free,202,159
souls,34,31
yeah,166,64
blah,77,7
dies,111,80
heaven,68,99
evil,369,327
hell,323,179
survive,56,72
escape,109,160
terrible,666,122
chopped,21,9
elanor,1,0
saving,101,50
wooden,136,24
effects,648,422
couple,439,407
rooms,21,29
basically,289,182
laughing,139,115
badly,276,55
films,1482,1902
your,1649,1208
scare,61,48
definitely,244,519
miss,170,272
watched,547,581
sacred,6,11
got,968,795
bored,215,71
appalling,55,5
generous,44,12
others,345,449
ilk,10,9
portrayal,71,168
madmen,4,2
century,101,158
bizarre,140,114
species,19,25
antics,26,34
outrageous,27,37
fictionalized,2,9
everyone,494,627
napoleon,10,5
historical,85,117
figure,189,180
fascination,24,20
chickens,4,2
beating,34,30
each,458,846
scriptwriter,11,7
sense,635,508
insanity,6,23
mental,88,69
illness,25,26
wonderful,142,677
human,276,499
flew,9,9
cuckoo,6,5
nest,8,9
illnesses,3,3
believable,145,215
once,471,651
worked,150,158
state,114,127
these,1315,1366
guys,393,250
smart,99,110
calculating,2,9
life,1260,2079
begin,197,152
feels,210,207
cheap,328,101
saturday,52,51
morning,59,79
shows,410,724
late,251,379
eighties,17,23
early,329,497
nineties,14,13
sort,390,342
captain,77,95
power,229,259
rangers,47,4
digital,29,30
overlays,1,0
cheesy,187,112
sounding,24,21
secret,158,151
agencies,2,1
villains,58,80
direction,349,311
now,1064,1178
continuity,79,31
threw,44,21
scenes,1395,1210
together,478,643
forgot,60,30
supposed,603,175
ridiculous,387,77
plant,23,19
explosive,13,22
device,61,40
though,1012,1224
clearly,225,213
stated,34,30
remote,57,25
detonated,1,0
chase,121,93
motorcycles,3,3
drives,32,35
carries,23,56
while,1157,1430
ludicrous,68,17
completely,574,372
pointless,214,25
bike,18,17
stunts,27,41
standing,81,51
bikes,3,4
wheelies,1,0
crash,66,46
attackers,9,8
thrown,132,83
cgi,130,44
rider,18,12
vanished,6,4
seconds,124,39
unscathed,9,1
planted,9,8
choose,59,46
shoot,159,72
agent,91,80
driving,87,52
past,247,371
blow,43,52
sound,369,282
confusing,140,62
might,805,626
lord,70,97
rings,36,68
type,276,282
here,1508,1390
re,1274,1005
savini,17,0
todd,11,50
assume,73,43
favor,82,47
blackmailed,5,5
predictable,295,121
vinnie,19,6
testaverdi,1,0
pass,116,90
huts,1,0
ball,60,84
jets,9,1
saw,696,888
ending,580,600
halfway,70,24
politics,46,46
reminds,59,90
east,47,40
fix,32,24
four,186,243
lame,314,49
trouble,138,131
summarizing,5,0
points,203,195
may,692,963
spoilers,166,112
care,420,258
enough,987,730
filter,8,8
low,587,320
budget,589,315
creature,110,62
design,79,88
nice,451,568
direct,78,91
horror,1064,725
slathered,1,0
unfortunately,441,222
grainy,16,18
noticeable,13,16
lit,30,23
white,356,403
halls,1,4
asylum,32,11
lighting,111,71
plagues,6,4
variations,7,11
director,1170,1015
trying,764,471
simulate,5,2
dementia,4,4
order,208,242
effective,94,183
consistent,25,19
flow,32,50
needed,187,156
established,32,50
merely,96,87
amateurish,96,21
twists,77,139
numerous,73,74
consistently,19,27
neither,164,99
mind,487,514
identity,36,85
robed,2,1
cultists,6,1
nor,177,143
kind,784,643
trumps,2,4
development,205,140
surface,44,52
quibbling,1,0
reliably,1,2
fail,84,48
employ,11,4
common,129,129
first,2162,2416
regulatory,1,0
commissions,1,0
health,17,50
center,33,77
unilaterally,1,0
declared,8,7
patient,32,55
employee,14,12
deaths,67,32
cardiac,1,0
induced,13,11
psychiatrist,16,58
capable,64,58
performing,24,48
autopsies,2,0
impressive,86,161
qualifications,3,3
introduction,37,46
choice,108,156
religion,74,53
background,143,158
anyone,718,617
importantly,31,36
place,564,659
everything,584,587
frighteningly,2,4
wrong,560,344
conclude,24,13
still,1110,1678
pursue,11,14
residency,1,2
respect,130,134
intelligence,102,76
benefit,30,27
bottom,149,76
line,497,410
wicker,16,2
man,1297,1715
cover,166,101
dvd,511,678
missed,127,161
hails,1,2
hitler,61,93
rise,62,62
triumph,18,48
post,127,129
mesmerizing,6,33
newsweek,2,2
wrote,164,133
word,296,189
peace,31,71
ahem,11,2
art,277,381
sacked,4,2
try,510,390
paint,85,20
picture,311,422
colors,30,69
character,1742,1763
portrayed,117,173
often,320,487
inaccurate,26,6
compared,139,128
gentle,12,57
subdued,3,14
treated,78,53
women,480,420
actors,1226,1030
sorry,279,94
imprisoned,10,14
inside,122,152
dimensional,76,46
curse,43,32
peter,155,187
o,183,253
toole,6,7
honorable,9,11
career,216,273
ended,139,144
leader,50,80
case,402,349
legendary,30,68
galigula,1,0
list,168,120
alone,262,251
fill,67,36
allowed,89,90
imdb,229,137
leave,272,295
telly,10,9
anything,899,543
else,585,405
shelf,38,12
local,207,236
virgin,42,42
store,146,108
walmart,9,0
bin,43,12
paid,141,52
bela,20,23
lugosi,35,44
long,865,847
string,35,17
rd,38,28
rate,138,173
small,309,511
studios,26,60
monogram,5,1
ones,240,261
bowry,1,0
boys,121,188
wretchedness,5,0
approach,78,113
awfulness,22,0
achieved,24,45
ed,89,85
wood,89,59
classics,44,69
bride,25,36
monster,260,115
plan,117,90
outer,37,10
nonetheless,38,57
die,225,175
fans,335,390
junkie,7,1
besides,100,99
lesser,48,47
pretty,1033,780
mad,118,117
scientist,110,58
wants,336,327
wife,458,576
alive,122,115
serum,31,7
concocts,2,2
brides,12,7
disease,33,41
hashed,1,4
annoying,390,92
female,258,205
reporter,57,44
lois,25,7
lane,40,41
jimmy,34,79
olsen,12,20
superman,86,51
murders,78,84
bodies,67,49
follows,87,166
clues,24,34
doorstep,6,5
crazed,33,15
assistant,35,36
strange,231,238
sons,17,48
ugly,129,50
hunchbacked,1,0
fiend,11,9
dwarf,11,5
naturally,66,65
plucky,2,3
faints,4,8
repeatedly,36,27
narcolepsy,3,0
investigative,4,6
journalism,5,10
hand,333,299
eventually,171,202
maniacs,9,3
mostly,238,237
due,193,257
hands,157,152
conclusion,103,122
doctor,166,150
met,52,92
marry,40,64
dumb,249,61
cameraman,13,12
occurs,28,37
haven,196,231
noticed,63,75
fainting,3,1
slow,314,235
ponderous,10,2
fell,106,76
asleep,83,27
elevated,6,7
side,278,367
bar,115,93
russia,23,25
offered,47,60
immortal,15,18
dollars,54,46
drink,38,25
polish,19,14
counterpart,8,15
speak,146,112
convincing,140,142
accent,147,82
declined,5,6
speaking,104,93
slightly,113,144
starstruck,1,1
experience,210,344
knows,182,277
lines,444,306
frankly,82,45
dear,41,25
damn,112,67
spoken,38,42
name,440,332
credits,189,134
rancid,13,0
aluminium,7,0
heavy,111,117
ryszard,1,0
janikowski,1,0
counting,11,9
myself,323,255
lucky,52,84
spent,177,87
south,93,139
wales,3,4
hot,183,160
spot,76,107
barry,36,42
island,150,125
actual,220,176
storyline,236,186
caterers,2,1
wardrobe,12,13
lady,196,249
concurred,1,0
appeared,96,88
swearing,15,8
nudity,204,83
things,911,948
certainly,326,399
dreadful,109,20
positive,146,82
chatting,6,7
rhys,8,13
ifans,7,0
notting,4,3
hill,61,56
inkling,4,2
welsh,3,3
various,110,167
inappropriate,38,10
comments,206,193
pit,8,24
become,326,465
since,701,767
visits,15,37
keith,16,18
allen,99,104
showed,102,133
realised,19,20
review,258,155
hobby,7,4
problems,232,229
firstly,28,17
probable,4,7
chance,219,324
ruin,59,36
reputation,54,49
secondly,39,12
trash,175,65
realising,2,4
favourite,49,136
lastly,15,9
dvds,19,21
judge,59,79
convent,14,13
ignore,52,41
avoid,313,63
pity,64,63
scary,293,190
box,173,125
kittens,7,2
following,132,146
clich,308,90
focuses,29,74
american,482,668
high,535,527
school,450,388
students,101,75
trip,99,138
abandoned,50,48
stoned,12,5
laid,39,39
mildly,72,14
spooked,3,1
next,441,459
cannibalistic,13,0
demonic,24,8
nuns,11,7
emerge,16,18
cobwebs,2,2
proceed,15,9
pick,126,130
classic,330,621
tradition,33,55
worry,28,38
saves,43,27
total,195,105
nobody,127,87
tosh,4,0
seriously,328,155
exception,114,89
coolio,3,2
cameo,59,64
hyperactive,6,2
itchy,4,11
trigger,11,19
finger,33,17
amusing,133,119
properly,43,35
frightening,38,62
zombie,255,125
cheerleader,9,2
chipmunk,1,0
noises,26,13
glo,2,1
jobs,40,42
appears,236,194
kills,164,106
instantly,23,39
jump,77,57
messily,1,2
murdered,78,48
wearing,101,64
buffy,7,6
vampire,105,55
slayer,8,1
scariest,4,28
voters,11,3
maximum,15,7
score,198,318
mean,551,285
split,39,34
sides,26,58
honest,99,127
dentist,16,64
comedy,766,865
shaun,7,9
honestly,152,63
anybody,103,66
except,354,202
family,576,1059
cast,800,1074
crew,149,121
enjoy,325,605
genre,239,359
makers,148,83
salvage,21,4
turkey,69,18
shouldn,94,76
bust,12,17
gut,15,23
yes,398,353
something,1475,1106
constructive,12,2
rubik,1,1
cube,44,35
example,352,329
price,56,88
stickers,1,2
reduced,35,17
sold,44,43
poxy,1,0
awesomely,3,2
flick,393,225
pile,77,15
unholy,4,3
caught,108,170
screening,33,45
held,84,116
members,118,169
college,147,101
gaming,8,2
club,108,95
forewarned,5,7
reefer,3,0
madness,25,59
delivered,58,66
tom,172,214
hanks,25,38
robbie,16,4
starting,81,73
resting,5,2
semester,6,1
viewer,277,366
progresses,17,29
hopelessly,26,8
addicted,21,19
role,589,1001
mazes,6,2
monsters,77,49
acquainted,5,9
recruit,3,9
levels,44,70
features,140,170
candlelight,6,0
describe,95,65
meant,175,134
cultish,2,1
gamers,11,2
horribly,70,24
sessions,10,4
usually,287,236
chee,1,0
tohs,1,0
oscar,108,341
caliber,27,19
wrenchingly,3,1
roles,207,353
bosom,3,1
buddies,31,21
bachelor,14,13
party,122,140
year,496,646
horizon,8,15
supporting,147,301
memorable,102,240
forth,49,41
decent,399,185
performances,291,618
mainly,83,112
badness,17,2
dangers,6,11
view,179,286
planning,29,30
silly,290,154
gun,162,112
fake,180,57
drowning,12,13
roberts,29,42
secretly,12,31
swimming,25,32
lessons,35,39
ywca,2,0
calls,66,60
condolences,2,1
hello,35,17
number,210,290
leaves,148,187
town,247,385
drops,22,25
wedding,80,70
ring,64,108
toilet,59,14
days,279,345
weeks,52,65
hubby,8,6
flushed,9,2
explanation,102,31
paying,61,40
mothers,16,24
retirement,10,12
behind,335,323
rich,132,158
husbands,22,28
towards,135,164
tiresome,44,6
suspects,36,37
runs,130,128
kitchen,37,30
cans,4,3
stacked,1,2
neatly,6,26
spidey,3,2
punch,41,46
suck,84,6
heroes,73,94
x,95,77
punisher,1,2
daredevil,3,3
iron,25,17
sandman,3,0
kinda,85,63
favorite,136,463
episodes,119,338
turning,104,76
spider,25,21
wars,61,90
hobgoblin,1,0
alien,121,62
costume,58,52
mutant,25,5
agendabut,1,0
rocket,28,15
racer,3,0
morbius,3,1
hydro,4,0
plasma,4,2
blood,370,214
vampires,57,22
irritates,4,3
main,551,526
villain,166,134
season,107,267
mentioned,134,141
appearance,103,107
style,369,466
tube,18,17
train,92,98
near,194,200
painted,29,16
look,1141,978
hanging,79,33
jarrow,1,0
march,15,41
feeble,22,3
version,502,601
suppose,121,75
poverty,25,44
marchers,1,1
japp,1,4
cater,7,4
himself,471,608
weak,265,114
put,630,556
half,686,368
hour,398,226
victim,109,96
content,79,94
reacted,3,2
performance,477,967
emotionally,40,81
justin,32,16
timberlake,32,5
edison,15,8
scream,87,51
anguish,8,12
destroy,68,45
screen,560,607
readily,13,21
accept,65,100
hopeless,22,19
cries,18,18
nihilism,4,2
miscast,51,15
andy,51,120
dick,46,99
lead,332,298
patton,5,13
nathan,9,24
beside,19,17
equally,75,126
ben,157,138
affleck,35,9
talent,230,216
sir,28,53
ian,37,38
mckellen,2,1
dame,9,14
judi,1,15
dench,1,17
metrosexual,1,0
lisp,4,1
lithp,1,0
boyish,6,11
glances,7,8
expressions,29,49
derive,5,5
poisons,2,1
upon,207,222
inflicted,11,6
mercilessly,9,10
slice,17,25
buy,182,196
amateur,80,28
turned,248,215
crusader,3,3
justice,91,120
journalist,26,30
fly,70,40
however,827,960
david,184,330
j,99,107
burke,17,13
puts,71,112
essentially,74,56
primary,24,33
aside,125,116
morgan,43,71
freeman,39,43
kevin,73,63
spacey,39,7
dylan,14,24
mcdermott,11,10
cary,24,29
elwes,2,0
surprised,141,238
cool,229,245
imagine,210,165
physically,33,35
suffering,60,67
interact,9,19
upside,17,10
moment,275,286
double,106,95
relief,59,55
pleasure,54,101
ten,239,189
blissful,1,1
contrast,24,92
our,507,725
hero,289,258
breath,32,53
fresh,56,128
air,155,159
bashing,20,9
particular,134,223
trick,39,49
run,342,279
mill,16,32
corruption,15,42
ranges,8,7
preposterous,25,12
admire,27,39
motivation,53,13
interpret,6,8
homage,33,27
serpico,2,4
donnie,5,2
brasco,2,0
chinatown,4,8
ballpark,2,1
stretch,41,33
suspension,22,10
disbelief,51,26
existence,63,68
justify,31,21
sitting,134,92
itself,380,373
writing,394,265
interchanges,1,0
conversation,44,52
between,724,1023
piper,11,3
perabo,5,1
wasted,240,35
lifted,24,14
dawson,23,36
creek,22,10
typical,166,221
glib,5,4
impress,33,15
articulate,7,6
dialogue,449,309
punctuated,7,1
music,676,893
moments,363,461
sometimes,239,354
morph,6,1
emotion,95,103
communicated,4,3
precisely,19,26
chosen,38,66
variant,5,3
speeds,9,3
motion,105,127
thinking,360,248
curiosity,33,30
marred,7,5
directors,169,173
tough,92,134
choices,40,59
mark,126,201
themselves,278,321
puzzle,10,19
pieces,94,99
puzzles,7,4
forced,197,141
incoherent,64,5
particularly,253,311
exciting,105,147
alec,19,25
baldwin,42,4
kim,43,56
basinger,34,11
mercurial,2,1
tempered,5,13
powered,11,10
nearly,178,189
remake,151,92
steve,105,137
mcqueen,17,28
ali,16,5
macgraw,4,0
thriller,168,256
fugitive,10,9
twosome,3,0
vital,16,16
presence,94,116
stone,70,131
silent,87,145
weary,14,15
clock,30,20
ticking,5,2
cagey,2,2
magnetism,4,4
league,36,55
charms,15,20
versatile,9,9
showcase,23,29
attributes,8,11
looks,779,451
james,227,322
woods,124,90
artificially,5,3
hammy,20,12
mob,42,39
magnet,3,3
hostage,13,4
ex,115,118
partner,66,69
unbearable,50,15
hat,55,61
causes,49,30
aka,50,41
demons,34,62
iii,36,31
italian,106,154
although,543,746
shot,551,464
english,247,296
sequel,263,167
earlier,142,197
titled,36,24
ogre,11,13
lamberto,5,4
bava,10,7
rents,3,5
villa,10,10
summer,69,117
